github.com/AlDanial/cloc v 1.68  T=0.50 s (442.0 files/s, 43394.0 lines/s)
-----------------------------------------------------------------------------------------------------------------
File                                                                          blank        comment           code
Source\Engine\Graphics\Drawer2D.hpp                                              12             12             49
Source\Engine\Audio\Sound.hpp                                                    17              3             47
Source\Engine\Graphics\Renderer3D.hpp                                            12              2             45
Source\Engine\Implementation\OGL\OGLVertexBuffer.hpp                              8              0             44
Source\Engine\Implementation\SFMLAudio\SFMLSoundData.cpp                          6              0             44
Source\Engine\Scene\Components\AudioSource.hpp                                   14              0             43
Source\Engine\Engine\UserUpdater.hpp                                              6              8             43
Source\Engine\Engine\Updatable.hpp                                                8              4             42
Source\Engine\Implementation\NullAudio\NullSound.hpp                             15              1             41
Source\Engine\Resources\Resource.hpp                                             11              4             40
Source\Engine\Scene\Components\RectRenderer2D.cpp                                 7              1             40
Source\Engine\Implementation\SDLInput.hpp                                        10              0             39
Source\Engine\Implementation\Box2D\Box2DRigidBody2D.hpp                          14              1             39
Source\Engine\Graphics\Renderable2D.cpp                                           6              0             39
Source\Engine\Scene\Components\RigidBody2D.hpp                                   16              1             39
Source\Engine\Implementation\OGL\OGLTexture2D.hpp                                10              0             37
Source\Engine\Implementation\Box2D\Box2DCollisionShape2D.hpp                     11              1             37
Source\Engine\Engine\EngineUpdater.hpp                                            5              6             37
Source\Engine\Engine\Context.hpp                                                  5              0             37
Source\Engine\Graphics\Renderer2D.hpp                                            12              6             36
Source\Engine\Scene\Components\LightComponent.cpp                                 6              0             35
Source\Engine\System\MemoryManager.hpp                                            8              3             35
Source\Engine\Implementation\OGL\OGLUtils.cpp                                     2              0             34
Source\Engine\Scene\Components\MeshRenderer.cpp                                   6              0             33
Source\Engine\Engine\Config.hpp                                                   5             26             33
Source\Engine\Graphics\Renderable3D.hpp                                           6              0             33
Source\Engine\Implementation\SDLContext.hpp                                       4              0             33
Source\HelloWorld2D\MainApp.cpp                                                  11              1             32
Source\Engine\Input\Input.hpp                                                    10              0             32
Source\Engine\Graphics\Light.hpp                                                  7              6             32
Source\Labirynth\Level2.hpp                                                       5              3             31
Source\Engine\System\System.hpp                                                   6             13             31
Source\Engine\Scene\Components\BoxCollider2D.hpp                                 12              0             30
Source\Engine\Core\NonCopyable.hpp                                                3              5             30
Source\Engine\Physics\CollisionShape2D.hpp                                       11              1             30
Source\Engine\Scene\Components\StaticSprite2D.hpp                                 9              0             30
Source\Engine\Implementation\SFMLAudio\SFMLAudio.hpp                             11              2             30
Source\Engine\Graphics\VertexBuffer.cpp                                           1              0             30
Source\Engine\Implementation\SDLSurface.hpp                                       8              0             30
Source\Engine\Implementation\NullAudio\NullAudio.cpp                              6              0             29
Source\Engine\Implementation\OGL\OGLShader.hpp                                    4              0             29
Source\Engine\Implementation\NullAudio\NullAudio.hpp                             11              0             29
Source\Engine\Scene\Event.hpp                                                     8              0             29
Source\Engine\Main.cpp                                                            5              0             29
Source\Engine\Scene\Components\Camera.hpp                                         9              4             28
Source\Engine\Physics\PhysicsWorld2D.hpp                                          9              1             28
Source\Engine\Audio\SoundData.hpp                                                10              3             28
Source\Engine\Scene\Components\AudioListener.hpp                                  9              0             26
Source\Engine\Audio\Audio.hpp                                                    12              2             26
Source\HelloWorld2D\MainMenu.hpp                                                  5              0             25
Source\Labirynth\MainApp.cpp                                                      7              0             25
Source\Engine\Scene\Components\RectRenderer2D.hpp                                 8              0             25
Source\Engine\Implementation\OGL\OGLFrameBuffer.hpp                               6              0             25
Source\Engine\Audio\AudioHandler.hpp                                              6              0             23
Source\Engine\Scene\Components\PhysicsWorld2D.hpp                                 8              1             23
Source\Engine\Graphics\Surface.hpp                                                6              0             23
Source\Engine\Scene\World.hpp                                                     7              2             23
Source\Engine\Core\Utils.hpp                                                      6              3             23
Source\Engine\Graphics\FrameBuffer.hpp                                            6              0             22
Source\Engine\Implementation\Bullet\BulletPhysicsWorld3D.cpp                      6              2             22
Source\Engine\UI\ImGUIFlags.hpp                                                   4              0             22
Source\Engine\Implementation\SDLWindow.hpp                                        7              1             22
Source\Engine\Scene\Components\Camera2D.cpp                                       4              0             22
Source\Engine\Scene\Components\LightComponent.hpp                                 7              2             21
Source\Engine\Implementation\SDLSystem.hpp                                        4              0             21
Source\HelloWorld2D\PhysicsPlay.hpp                                               5              0             21
Source\Engine\System\FileRecord.hpp                                               2              0             21
Source\HelloWorld2D\PlayGround.hpp                                                5              0             21
Source\Engine\Resources\Resource.cpp                                              2              0             20
Source\HelloWorld2D\MainApp.hpp                                                   1              0             20
Source\Engine\Scene\Components\Camera2D.hpp                                       7              1             20
Source\Engine\Engine\EngineModule.hpp                                             5              0             20
Source\Engine\Math\Functions.cpp                                                  3              0             20
Source\Engine\Scene\Components\MeshRenderer.hpp                                   6              0             20
Source\Engine\Implementation\SDLEventQueue.hpp                                    1              0             19
Source\Engine\Graphics\Window.hpp                                                 8              1             19
Source\Engine\Script\ScriptModule.hpp                                             4              0             18
Source\Engine\Implementation\NullAudio\NullSound.cpp                              5              0             18
Source\Engine\Implementation\SFMLAudio\SFMLSoundData.hpp                          6              0             17
Source\Engine\Implementation\Box2D\Box2DUtils.hpp                                 3              0             16
Source\Engine\Graphics\Texture2D.cpp                                              4              1             15
Source\Engine\Core\Platform.hpp                                                   4             11             15
Source\Engine\Physics\RigidBody2D.cpp                                             2              0             15
Source\Labirynth\MainApp.hpp                                                      1              0             15
Source\Engine\Implementation\NullAudio\NullSoundData.cpp                          4              0             15
Source\Engine\Implementation\Bullet\BulletPhysics3D.cpp                           3              0             14
Source\Engine\Physics\PhysicsWorld3D.hpp                                          5              0             14
Source\Engine\Implementation\Box2D\Box2DPhysics2D.cpp                             3              0             14
Source\Engine\Implementation\SDLFont.hpp                                          4              0             14
Source\Engine\Implementation\Bullet\BulletPhysicsWorld3D.hpp                      4              0             14
Source\Engine\Physics\PhysicsWorld2D.cpp                                          2              0             13
Source\Engine\Physics\Physics2D.hpp                                               4              1             13
Source\Engine\Input\EventQueue.hpp                                                3              0             13
Source\Engine\Physics\Contact2D.hpp                                               3              0             13
Source\Engine\UI\ImGUIRenderer.hpp                                                3              0             13
Source\Engine\Implementation\NullAudio\NullSoundData.hpp                          5              0             13
Source\Engine\Physics\CollisionShape2D.cpp                                        2              0             13
Source\Engine\Graphics\Vertex2D.hpp                                               2              0             13
Source\Engine\Physics\Physics3D.hpp                                               4              1             13
Source\Engine\Scene\Component.cpp                                                 2              0             12
Source\Engine\Implementation\Box2D\Box2DPhysics2D.hpp                             2              0             11
Source\Engine\Engine\EngineParams.hpp                                             1              0             11
Source\Engine\Math\Color.cpp                                                      1              0             11
Source\Engine\Graphics\Renderable3D.cpp                                           2              0             11
Source\Engine\Physics\PhysicsWorld3D.cpp                                          2              0             10
Source\Engine\Audio\SoundData.cpp                                                 2              0             10
Source\Engine\Physics\CollisionShape3D.cpp                                        2              0             10
Source\Engine\Physics\RigidBody3D.cpp                                             2              0             10
Source\Engine\Implementation\Bullet\BulletPhysics3D.hpp                           2              0              9
Source\Engine\Main.hpp                                                            3              1              9
Source\Engine\Physics\Physics2D.cpp                                               2              0              8
Source\Engine\Implementation\Bullet\BulletRigidBody3D.hpp                         1              0              8
Source\Engine\Core\Types.hpp                                                      2              0              8
Source\Engine\Physics\CollisionShape3D.hpp                                        1              0              8
Source\Engine\Physics\RigidBody3D.hpp                                             1              0              8
Source\Engine\Physics\Physics3D.cpp                                               2              0              8
Source\Engine\Implementation\Bullet\BulletCollisionShape3D.hpp                    1              0              8
Source\Engine\Implementation\Bullet\BulletRigidBody3D.cpp                         2              0              7
Source\Engine\Implementation\Bullet\BulletCollisionShape3D.cpp                    2              0              7
Source\Engine\Implementation\OGL\OGLUtils.hpp                                     1              0              6
Source\HelloWorld2D\Globals.hpp                                                   1              0              4
Source\Engine\Math\AABB2.hpp                                                      1              0              3
Source\Engine\Math\AABB3.hpp                                                      1              0              3
Source\Labirynth\Globals.hpp                                                      1              0              2
Source\Labirynth\EntryPoint.cpp                                                   1              0              2
-----------------------------------------------------------------------------------------------------------------
SUM:                                                                           3061            642          17994
-----------------------------------------------------------------------------------------------------------------

-------------------------------------------------------------------------------
Language                     files          blank        comment           code
-------------------------------------------------------------------------------
C++                             91           1564            183          10711
C/C++ Header                   130           1497            459           7283
-------------------------------------------------------------------------------
SUM:                           221           3061            642          17994
-------------------------------------------------------------------------------
